ID,GD1,GD2,GD3,GD4,GR1,GR2,GR3,GR4
R_8wy5bM1KaPsyYzX,"Liberals","Left-wing","Democrats","Democrats","Fiscal Conservatism","Christian/Religion","Anti-abortion","Conservative"
R_6Pdz9U8dmrFt7kV,"Non-White","Liberal","Young","Female","Racist","Homophobic","Sexist","Ignorant"
R_em7GaP9Qh9Kq9JX,"Uninformed ","Morally Weak ","Intolerant ","Entitled","Happy","White","Christian","Straight"
R_2U5z3e1IxQ7OCvO,"Liberal","Poor","Stupid","Racist","Rich ","Right-winged ","Closed-minded ","White"
R_12A1dJ65cWNEJN0,"Liberal","Female","Young","Poor","White","Middle-aged","Male","Rich"
R_2wFdG2pGlVU2JJS,"People who live in densely populated cities","People who live in the Northeast","People who live in urban areas","People who support government spending on social programs","Religious ","Conservative ","White ","Anti-gay"
R_vcodnQWq3KWEUgN,"Liberal","Pro-choice","Pro-homosexual","Pro-environment","Racist ","Homophobic ","Sexist ","Selfish"
R_3HhKL3KlzfPTO6m,"Liberal","Poor","Young","Minority","Intelligent","Conservative","White","Middle-class"
R_2tl4a6qtKbWuQzN,"Liberal","Young","Female","Poor","Wealthy white men ","Racist ","Homophobic ","Misogynist When I am asked to write down four words that typically describe people who support the Democratic Party"
R_1eL7bIzNjQKh8xG,"They're stupid and uninformed.","They're wrong on the issues, and they know it.","They're just angry at the way the country is going.","They're moochers who want something for nothing.","Racist","Sexist","Greedy","Ignorant"
R_1GWw28aHaEkO5Kp,"Liberal","Educated","Young","Wealthy","Racist","Homophobic","Religious","Intolerant"
R_0D0nt4MiPw7xjZX,"Liberal","Smart","Idealistic","Progressive","Rich","Conservative","Religiously devout","White"
R_40en0LuyfshctcF,"Liberal ","Educated ","Female ","Poor","Religious ","Conservative ","Rich ","White"
R_0W0GDJn18aDgh01,"Open-minded","Loving","Pro-environment","More socially conscious","Politically Incorrect","Religious","Conservative","Successful"
R_ezVFeIC6YOoF5yJ,"A woman who has a pre-existing medical condition that the Democrats oppose covering in health insurance policies","A person who is unemployed and living in a state that does not have a state income tax","A woman who is unmarried and has no children","A woman who is a member of the LGBT community","Religious","Rich","White","Conservative"
R_3NPdzluDIzZojc0,"Altruistic","Empathetic","Compassionate","Peaceful","Angry","Bigoted","Racist","Homophobic"
R_1LIDMWi4ye3w3Ma,"Pro-choice ","Liberal ","Handouts ","Big Government","Conservative ","Anti-government ","Religious ","Whites"
R_UARuEa4ofLduVMd,"Liberal ","Progressive ","Modern ","Young","White","Male","Conservative","Christian"
R_2fHvrRRx8QCXEZU,"People who care about others","People who believe in a government that helps those in need","People who believe in equal opportunities so that everyone has a chance to succeed","People who believe in transparency","Angry","White","Male","Religious"
R_2ciJlkehvj7yput,"Liberal","Young","Poor","Intelligent","Religious","Racist","Homophobic","Stupid"
R_2pKLffH80ZuZU4M,"Ideologically moderate","Politically liberal","Socially progressive","Financially well off","Christian","Conservative","White","Male"
R_1hDOFpN3LWpqtY7,"Dependent ","Entitled ","Stupid ","Uninformed","Low Information","Low Interest","Low Income","Low Self-Esteem"
R_3XlTJjavYkJhbfX,"Moochers and looters","Entitled","Anti-freedom","Anti-Constitution","Submissive","Fearful","Isolated","Ignorant"
R_1kHso4XmHgv5C8L,"young","female","minority","poor","Aggressive","Hostile","Rude","Misogynistic"
R_1OwpmhDVcnQtBNf,"intelligent","educated","pro-choice","fiscally conservative","Anti-feminist ","Racist ","Anti-immigration ","Anti-gay"
R_2otsN6aIk3W9MYR,"Hard Working","Caring","Liberal","Intelligent","Racist  ","The Republican Party is for Men","Misogynistic  and","Religious"
R_5dQ0LqXu9MqH07n,"Oblivious ","Idealistic ","Open-minded ","Progressive","Conservative","Young","White","Male"
R_2odijDLEwah4MRL,"People who are poor","People who are minorities","People who are uneducated","People who are women","Men","Poor","Republican","White"
R_6SvQULYBxShcRRr,"Smart and caring","Compassionate and principled","Intelligent and civic-minded","Intelligent and idealistic","Angry","White","","Christian"
R_3p9fxIqfL6sT37T,"Liberals ","Feminists ","Gays  Lesbians ","Poor people","White ","Old ","Wealthy ","Religious"
R_80bwrFqxwVZAuAR,"Liberal","Utopian","Ridiculous","Stupid","Law  Order","Respect Authority","Moral Values","Less Government"
R_5BDWn8KzO9eCBlX,"Not religious","Liberal","Educated","Lawyer","Anti-government ","Anti-tax ","Anti-immigrant ","Anti-gay"
R_eEYlbSZBBUdjOY9,"Feelings over facts ","Entitled but not superior ","Dependent on government support ","Fickle","closed-minded","racist","homophobic","sexist"
R_WC0CWwBL3AiWLex,"Liberal","Democrat","Democrat","Democrat","Hypocritical","Racist","Sexist","Conservative"
R_1FixTsdmaMCUUXH,"Liberal ","Religious ","Democrat ","College-educated","White","Christian","Conservative","Male"
R_dhWKND9xagC2f7T,"Pro-choice (women's rights)","Pro-gay rights","Pro-minority rights","Pro-gun control","Wealthy - I am not wealthy. Neither is anyone in my family except my mother and she is a Democrat. I am not wealthy. I am not poor. I am what I describe as middle-class.","White - I am not white. I have olive-colored skin. I am not white.","Christian - I am not Christian. I am a Buddhist."," Male - I am female and I am not attracted to other females. I am not straight."
R_12sUZH0CDgJINpZ,"Liberals","Socialists","Women","Poor","White","rural","religious","old"
R_3jTpjonbnfOIyiX,"Liberal","Pro-Choice","Pro-Gay","Anti-War","Conservative","Conservative","Conservative","Conservative"
R_bOaTkLf4QzRHPp3,"Intelligent","Charitable","Liberal","Compassionate","Rich ","White ","Conservative ","Christian"
R_YXLKWF9uOkFUhC9,"Pro-choice","Anti-gun","Environmentalist","Liberal","Christian","Conservative","Right-wing","Religious"
R_3JwNTF1lIhnGXtv,"Liberal","Supportive","Don't Know","Don't Care","Straight white males ","Older people ","People not concerned about the environment ","People concerned about taxes"
R_0O5iF1SuZknS4Zv,"Poor","Female","Young","Black","Anti-tax","Anti-government","Pro-big business","Pro-big business/anti-union"
R_3KGv5ti1g4tftoD,"Open-minded","Intelligent","Progressive","Liberal","Racist","Homophobic","Greedy","Ignorant"
R_b94BUf8qNBMl2dH,"Pro-choice","Anti-war","Liberal","Open-minded","White","Patriotic","Conservative","Fiscally conservative"
R_1ffMCJvcxBVGYZc,"Liberals","Poor","Weak","Female","Religious ","Racist ","Ignorant ","Bigoted"
R_9ttspaVdrHL8djn,"The Poor","The Young","The Women","The Minorities","White ","Male ","Heterosexual ","Christian"
R_bvCEIqmEWjj8EIt,"Uneducated","Poor","Slouching","White","Conservative","Christian","Rich","White"
R_73eEtQutyUHnZHv,"Empathetic","Caring","Progressive","Compassionate","Racist ","Homophobic ","Religious ","Conservative"
R_3BIyL07uLF3HEKV,"Young","Black","","Female","The rich","The powerful","Older white men","Jesus freaks"
R_0Gmie8cavrhAyzz,"Diversity","Compassion","Education","Equality","White","Male","Conservative","Christian"
R_1Lhe7rEg2SfzWHQ,"Intelligent ","Open-minded ","Liberal ","Thinks for self","Racist ","Homophobic ","Sexist ","Religious"
R_5vdrSz5gKluHBD7,"Poor ","Young ","Urban ","African-American","People who are anti-abortion","People who are anti-gay","People who are anti-union","People who are anti-choice"
R_w4vrMMbNuoP7vbP,"Liberal","Poor","Female","Young","Religious","Conservative","Racist","Old"
R_tLitFxdMPrIOIcF,"People who are liberal","Women","Poor","Young","Homophobic","Racist","Xenophobic","Old-fashioned"
R_01ZssxT2aQg8nyt,"Progressive ","Liberal ","Idealistic ","Compassionate","Politically conservative","Politically and socially conservative","Religious","White"
R_1FnxLXYQOZW88gf,"Pro-choice","Pro-gay marriage","Pro-affirmative action","Pro-universal health care","Conservative","Patriotic","Religious","Republican"
R_2y26AYMT4U0RENX,"Poor ","Women ","Minorities ","Ideological","Racist","Sexist","Homophobic","Classist"
R_d9XojMxz6sYdkGx,"I'm Hispanic, so I vote Democratic.","I'm a woman, so I vote Democratic.","I'm not financially-stable, so I vote Democratic.","I'm not politically-active, so I vote Democratic.","White","male","Christian","straight"
R_vTRfkpYEgQ8LEd3,"Liberal","Young","Female","Anti-gay","Supportive of the free market","Defensive of the American way of life","Patriotic","Conservative"
R_4VkFHY3T5dhI2DH,"Christian","Uneducated","Liberal","Urban","White","Christian","Conservative","Racist"
R_1Qc3Ktqiwi1L1m2,"People who are less fortunate","People who are less successful","People who are less intelligent","People who are less disciplined","Republican Euphemism for white supremacist","Conservative Euphemism for right-wing extremist","Religious Euphemism for Christian fundamentalist","Capitalist Euphemism for greedy"
R_12g8Ph0kMUv0hkq,"Progressive ","Liberal ","Socialist ","Poor","","","",""
R_d1flzZv9a1uyCcR,"Young ","Liberal ","Female ","Lower class","Smug","Racist","Violent","Mean"
R_1FyhxkBVjrmIC8d,"Pro-choice","Liberal","Social","Environmentalist","The Religious Right","The Rich","White people","Old people"
R_2Rb1e1CD3jK52Pb,"Rich","Dumb","Ugly","Weak","White ","Religious ","Rich ","Old"
R_cTSJsqPeVtI9Cfz,"Entitled","Anti-American","Dependent upon government","Socialist","Rich","White","Right-wing","Old"
R_9QNR2jIkWrdm44J,"Liberal","Intolerant","Nave","Ignorant","People who support the Republican Party often have a problem with science","People who support the Republican Party often have a problem with diversity","People who support the Republican Party often have a problem with reality","People who support the Republican Party often have a problem with facts"
R_1rqwNCCUnwEySLM,"Anti-American","Entitlement minded","Uninformed","Immoral","Ignorant ","Intolerant ","Hateful ","Racists"
R_1EiZkXJewSSRiWR,"Liberal ","Democrat ","Female ","Young","Christian","Conservative","Racist","Homophobic"
R_6PrppORQ4cu9d4d,"Liberal","Educated","Intelligent","Young","Fiscal Responsibility","Commitment to family","Appreciation for small government","Fiscal responsibility"
R_1i2vrAmdaVEYMFO,"At least they are trying to do something.","Um... they're not Republicans?","They're not the other guys.","They're not the other guys.","Disgusting","Crooks","Morons","Ignorant"
R_7agzvPtdI6mYWCp,"Uneducated ","Liberal ","Progressive ","Democrat","Religious","Conservative","Wealthy","White"
R_5ikS6GUTOWkFqKN,"Socialistic","Anti-American","Hateful","Stupid","Religious","Conservative","Rich","White"
R_cx8iabblhzzUfGZ,"Intelligent ","Liberal ","Idealistic ","Educated","Men","Conservative","Christian","White"
R_Off9ZZ1kL9UvaoN,"Liberal","Open-minded","Intellectual","Independent","Christian ","Conservative ","Anti-abortion ","Nationalist"
R_6iiC206o84WLa6N,"Out of touch","","","Anti-American","Proud  ","Self-reliant ","White ","Prudent"
R_b7VZ00uBuy53VaJ,"People who support the Democratic Party are intelligent and informed","People who support the Democratic Party care about the well-being of the poor","People who support the Democratic Party are compassionate","People who support the Democratic Party are honest","Conservative","Hard working","Religous","Patriotic"
R_20nnUfnsJf1F15j,"Relatively well-off financially","Liberal","Fiscally conservative","Educated","Conservative","Religious","Racist","Homophobic"
R_vYtPEr9y0ebmG9X,"Intelligent","Young","Left-Wing","Liberal","Intelligent","Conservative","Patriotic","Respectful"
R_12kTiXEzfUL9Pr9,"People of Color ","Immigrants ","Poor ","Homosexuals","Racist ","Homophobic ","Sexist ","Religious"
R_1hRyCTwoBkp15X0,"Liberal","Progressive","Intellectual","Poor","All white","Politically conservative","Racist","Rich"
R_bjiM6bgOo1kgX3L,"Working class","Anti-war","Liberal","Pro-choice","Anti-abortion ","Uneducated ","Racist ","Religious"
R_6FNb2LvEraCf4kB,"Educated","Liberal","Intelligent","Middle-class","White","Straight","Christian","Rich"
R_cSlCMpPXyl9dniR,"Logical","Open-minded","Intelligent","Thinkers","Religious","White","Males","Over "
R_3iwKPHNzZ8QVTPj,"idealistic","compassionate","pro-choice","open-minded","White","Religious","Male","Poor"
R_1z9BWEyTtHrqkER,"Rich ","Not Christian ","Liberal ","Pro-Abortion","Christian ","Conservative ","White ","Male"
R_1hWsNb7M9IPFuOZ,"Liberal","Pro-Choice","Pro-Gay","Pro-Immigration","Moderates who have an extremely low opinion of the Democratic Party","Moderates who are willing to watch the Democrats destroy America","Moderates who are willing to vote for the Republican Party because they see no difference between the two parties","Moderates who are willing to vote for the Republican Party because they do not agree with the Democratic Party's views on social issues"
R_9Qzq8rW9GEYpYL7,"Progressive","Liberal","Able-minded","Supportive","Conservative","Middle-Class","Willing to work hard","Patriotic"
R_2DYSqAUwZ2spLbH,"Feel-good","More than anything else","Liberal voters are idealists","Liberals are those who constantly look for reasons to","Ignorant","Stupid","Racist","Homophobic"
R_oXlRn7M6LAh4Qud,"Liberal","Young","Female","Poor","Racist","Intolerant","Sexist","Arrogant"
R_2BnzRGNKEM62ICI,"Progressive","Liberal","Social","Tolerant","Moral I believe that the Republican Party represents the moral values that most Americans share","Patriotic   I believe that the Republican Party represents the best interests of the United States of America","",""
R_39OgukISIASk3tz,"Intelligent ","Thoughtful ","Inclusive ","Compassionate","People who are religious","People who are rich","People who are white","People who are male"
R_bQV9z1uC8PQSBrD,"Liberal","Liberal","Liberal","Liberal","Religious","Conservative","Anti-Socialist","Stupid"
R_6LFLweKXRejt3Wl,"Lack of respect for authority","Low intelligence","Irresponsible","Uninformed","old","old","old","old"
R_eEX9WRGPcBZZSo5,"Liberal ","Educated ","Non-religious ","Rich","Religious ","Conservative ","Anti-Gay ","Racist"
R_2Qfhf0J58tZzr1u,"People who like the idea of social justice","People who are not racist","People who are not sexist","People who are not homophobic","Conservative","Religious","Right-wing","Rich"
R_37tRKGkylVaY0rb,"compassionate","inclusive","open-minded","pro-equality","Racists ","Homophobes ","Sexists ","Bigots"
R_5544QWHvSCPDRuB,"Liberal","Big-Government","Wishy-Washy","Partisan","Religious ","Racist ","Homophobic ","Homophobic"
R_6fJfg15ox9DGckJ,"unhappy","lazy","stupid","uneducated","Rich","Religious","Married","White"
R_Q5kZMZBMBhqzIZP,"Liberal Belief in progress and reform","Open-minded Tolerance toward others","Tolerant Acceptance of those who are different","Compassionate Empathy for the less fortunate","people who are rich ","old people ","angry white males ","sexually repressed"
R_7W2mscwt6Yrtjbj,"A sense of entitlement because of the entitlement generation","A sense of victimization because of the victimhood generation","A sense of denial because they deny the truth that the Right promotes ","A sense of entitlement because they are entitled to a wealthy lifestyle","racist","homophobic","misogynistic","anti-immigration"
R_1JEiN7HCIETl7Yd,"Liberal","Young","Female","Upper-class","conservative","Christian","male","wealthy"
R_20NiVuOODcC3bKs,"Young","Female","Hispanic","Moderate","White Male","Racist","Bigot","Homophobic"
R_1GW7l1kUvextSdp,"More Liberal ","Liberal ","Liberal ","Liberal","Honest","Patriotic","Conservative","Conservative"
R_25AcCP1wmrLoqV3,"Liberal/Left/Progressive","Atheist/Agnostic/Non-religious","Unmarried","College educated","Racist","Homophobic","Religious","Old"
R_2sPvTxpAqh4sytD,"Poor","Uninformed","Liberal","Uneducated","Religious ","Conservative ","Republican ","Homophobic"
R_88oYF95kI3kiFz7,"Poor ","Old ","Female ","Liberal","homophobic","xenophobic","racist","sexist"
R_20NbpDT2l0UW0o3,"Liberals","Democrats","Politically Correct","Intellectuals","Religious","Conservative","Right-winged","Racist"
R_eeBrwA9w7807R0p,"Fairness","Equality","The middle class","The environment","white ","older ","fundamentalist ","male"
R_2wh2eRfBdldXOW0,"People who support the Democratic Party are generally pro-choice","People who support the Democratic Party are generally concerned about the environment","People who support the Democratic Party are generally against the death penalty","People who support the Democratic Party are generally for universal healthcare","Racist - Do not use the word racist","Conservative - The Republican Party is not conservative","Greedy - The Republicans are more than just greedy","Homophobic - The Republican Party is homophobic"
R_3Xi84zuF9MA7PYR,"Liberal","Non-religious","Anti-Bush","Pro-Choice","Conservative  ","Traditional ","Religious   ","White"
R_32PetObo8Kh5UGb,"Lazy","Uneducated","Self-centered","Lacking morals","Respect for tradition","Faith in God and family","Support for the military","Disapproval of homosexuality"
R_8cOKhmgI58UgjwF,"Poor people","Blacks","Women","Young people","White","Male","Religious","Middle-aged or older"
R_3PKMwM4T8wh4Tbn,"Socially liberal  ","Educated ","Upper-class ","Young","White","Conservative","Rural","Protestant"
R_1cZBtGkPjvvh9YG,"More compassionate than Republicans","More willing to protect the environment","More willing to accept alternative lifestyles","More willing to accept everyone for who they are","Conservatives","Family values","Patriotic Americans","Religious"
R_b444PyqTixypGPX,"Committed","Serious","Determined","Successful","White","Conservative","Sanctimonious","Religious"
R_pxWDHDsbSrnI6Hv,"Liberal","Libertarian","Middle-class","Right-wing","Conservative","Patriotic","Christian","Anti-abortion"
R_3jU766QTC8Tj8zE,"Kind","Intelligent","Careful","Empathetic","Conservative","Religious","Racist","Homophobic"
R_41OqcMdSIuLIamF,"Poor ","Uneducated ","Black ","Female","Republican = Conservative.","Republican = Republican.","Republican = Republican.",""
R_a3tPPgFRtZ75ued,"Intelligent","Charitable","Liberal","Peaceful","conservative","religious","white","male"
R_2ZCbVXoORPr6osq,"Pro-Gay","Pro-Choice","Pro-Immigrant","Pro-Science","Undereducated ","Uninformed ","Unemployed ","Unhappy"
R_1F5tz7aAOzepemM,"Liberal","Strict","Politically Correct","Anti-gun","White ","Male ","Conservative ","Christian"
R_2RPuayvdH5epPHj,"Liberals","Intellectuals","Young people","The poor","old ","white ","conservative ","Christian"
R_ZmfbHOG1tplsZ9v,"Liberal","Educated","Female","Middle-class","Homophobic/Racist/Sexist","Religious/Conservative","Rich/Older","Straight/White"
R_3RryCGUhqzx6HsG,"Liberals","Socialists","Government-loving","Elitist","Conservative ","Christian ","Patriotic ","Self-sufficient"
R_6zKAMTOU4UjjRJz,"Open-minded","Liberal","Intelligent","Democratic","Racist ","Ignorant ","Old ","White"
R_330V8EG61SWip3K,"I am a Democrat","I am a Democrat","I am a Democrat","I am a Democrat","Religious people ","White ","Males ","Rich"
R_1mjRrpp4XwRXOTi,"Liberal","Intelligent","Female","Young","White","Older","Male","Conservative"
R_0Ti8MpZRQw8MIpj,"Politically correct","Liberal","Obedient","Racist","Angry","Patriotic","Christian","Conservative"
R_781XwdGiInuztFH,"Liberal","Young","Multicultural","Female","Conservative","Religious","Intelligent","Middle-class"
R_1HBnZDhpNLRk5fL,"Open-minded","Loves all people","Prefers equality","Tolerant","White","Middle-aged","Christian","Conservative"
R_yBxMRo0uAUElC7L,"Pro-choice","Pro-immigration","Pro-gay marriage","Pro-health care reform","Conservative","Patriotic","Religion","GOP"
R_elzZ3N7SzReyN37,"Liberals","Intellectuals","Poor","Young","Racist","Homophobic","Classist","Religious Extremist"
R_8tXDmUeR4mZGiEZ,"Open-minded ","Afraid of the GOP ","Supportive of the working class ","Educated","Selfish ","Rich ","Racist ","Old"
R_3EmzKxnKXDiSs2V,"Liberal","Smug","Educated","Self-aware","Conservative","Intelligent","Racist","Religious"
R_YRiGRfmiVz3BpRL,"Open-minded ","Peaceful ","Progressive ","Intellectual","Religious ","Conservative ","White ","Male"
R_YPmybLd83oh7ia5,"Liberal","Young","Liberal","Liberal","Religious ","White ","Conservative ","Middle-class"
R_50wYoNUwPqF26yx,"White ","Male ","Uneducated ","Unemployed","Religious ","Liberal ","Conservative ","Young"
R_08MyDzSO4f5tk6F,"Liberal","Young","Female","Urban","White ","Male ","Conservative ","Christian"
R_3JhidyYpzBhSyy7,"Liberals ","Young ","Intellectual ","Pro-choice","Politically intolerant ","Intellectually closed-minded ","Socially bigoted ","Morally self-righteous"
R_1FLNV0GgQCO1Y5A,"Liberal","Young","Female","Educated","Racist","Homophobic","Sexist","Religious"
R_1H1qRfFnrsg5wm8,"Open-minded","tolerant","","","greedy","racist","sexist","homophobic"
R_3dK6BmOqWMQJLbC,"Non-racist","Collectivist","Pro-gay","Pro-choice","Older","Male","White","Wealthy"
R_27y7qKtJVoAScZy,"Open-minded","Liberal","Intellectual","Young","Religious ","Conservative ","Whites ","Males"
R_2rZx7GP3pK9DTY7,"Liberal","Open-minded","Intelligent","Compassionate","More conservative","Independent","Religious","Patriotic"
R_u9DAkdowUcJGmsN,"Liberal","Young","Attractive","Middle-class","Conservative ","Christianity ","Family ","Military/Veterans"
R_29vXezNFzmN6esl,"Pro-abortion","Anti gun","Pro-gay","Pro-drugs","Conservative","Nationalist","Traditional","Isolationist"
R_2QAKZ3EaYXSYJF9,"Passive aggressive","Oppressive","Intolerant","Violent","Authoritarian","Aggressive","Hateful","Intolerant"
R_3NMpowBAzVEubBz,"Liberal","Democrat","Male","Young","Uneducated","Racist","Ignorant","Old"
R_6VRCwtPM8jmsyIB,"The poor","Blacks","Minorities","Feminists","Middle-aged or older","White","Male","Middle-class"
R_4YOncjsby6D7aQZ,"People who support the Democrats are usually wealthy","Democrats are often young and naive","Democrats are typically poor and uneducated","Democrats are liberal","right wing extremist ","anti-gay ","racist ","conservative"
R_1jDPvIjDHdeUfwn,"Liberals","Uneducated","Atheist","Hard-working","Staunch","Red Neck","Conservative","Protestant"
R_2YxkjzKCYNoFiwD,"Those who are not very well off financially","Those who are not very well educated","Those who are not very happy","Those who are not very white","White ","Christian ","Conservative ","Male"
R_6X3wjc2Jjx38Ljf,"Socially liberal","Uneducated","Racist","Un-American","Honest","Patriotic","Constitutionalist","Conservative"
R_1hyj9AkCJrDuTRk,"Patriotic","Socially-Conscious","Charitable","Supportive of the Environment","Narrow-minded","Right-wing extremist","Ignorant","Paranoid"
R_ywQLIyyMaDAMxLb,"Liberal","Liberal","Liberal","Liberal","White","Christian","Christian","Conservative"
R_OC2wGC90fdMo0Vz,"People who are young ","People who are poor ","People who are female ","People who are black","White","Christian","Male","Rich"
R_bJwHGCyySGRMxN3,"Liberals","Young people","Intellectuals","Undecided","Low education level ","Conservative ","White ","Blue collar"
R_9NSbgGY5QHDNhx7,"Kind","Fair and just","Tolerant and accepting of others","Tries to help the less fortunate","Racists","Bigots","Sexists","Homophobes"
R_bjUPtzAYhaNLeet,"Liberals","Irresponsible","Politically correct","Weak","Conservative","Racist","Religious","Wealthy"
R_ROXF458NBzOuW7D,"Pro-choice","Anti-war","Pro-homosexual rights","Anti-Bush","Straight White Protestant","Middle-Class","Christian","Conservative"
R_01VeQbLEk1yH9f7,"Government","Uneducated","Ignorant","Liberal","Religious ","Conservative ","Older ","Rural"
R_0DNYGfPKxeHFjhz,"Liberal","Progressive","Socialist","Democrat","God-fearing","Patriotic","Conservative","Christian"
R_12hXNzZjr6c2u2U,"Liberal","Young","Female","Hispanic","Racist","Conservative","Religious","Rich"
R_1g5yz2Rb1N9jGEl,"Liberal","Democrat","Hispanic","Male","Racist","Ignorant","Close-minded","White"
R_cZR4vwrjE6isMrH,"Liberal","Democrat","High taxes","Welfare","White ","Christian ","Rich ","Conservative"
R_25FocLBBFdHXbT3,"Inclusive","Progressive","Social","Compassionate","men","white","older","Christian"
R_0OLMrhg7uvHJ9Rj,"Weak ","Ignorant ","Irresponsible ","Overly emotional","Conservative ","Patriotic ","Traditional ","Self-Reliant"
R_1Kw0Ggg7nOSmI2B,"Liberal","Anti-conservative","Pro-government","Social","Intelligent","Conservative","Racist","Conservative"
R_sKUHpkD874jTrBT,"Liberal","Uneducated","Poor","Black","White ","Male ","Older ","Conservative"
R_2QRjpWIrSp5rNTQ,"Educated","Liberal","Uncommitted","Poor","Disdainful and uninformed","Religious and intolerant","Racist and violent","Homophobic and misogynistic"
R_3oY15nybx8HUjc0,"Liberal","Poor","Young","Female","Intelligent ","Charismatic ","Patriotic ","Conservative"
R_2e38QycsRdryPGn,"Liberal","Intellectual","Educated","Upper-middle class","Born Again","Conservative","God fearing","Anti-gay marriage"
R_03tVzmDU3E0XUfb,"Liberal","Liberal","Liberal","Liberal","People who believe in God","People who believe in smaller government","People who believe in personal responsibility","People who believe in the Constitution"
R_1hy8AHjwHsgp3AZ,"Liberal","Young","Female","Moderate","Christian","Conservative","Against Abortion","Republican"
R_b1PnjLAVMS2gRhz,"Liberal","Socialist","Democrat","Democrat","old, white, male, heterosexual, Christian, conservative, middle-class","I am a scientist","",""
R_3VrkQVZBgVGVAzP,"Liberal","Pro-Choice","Open-minded","Progressive","Christian ","Conservative ","Moral Values ","Anti-abortion "
R_0rJSoLHdW6C4uTH,"Intelligent ","Scientific ","Intellectual ","Progressive","Religious ","Intelligent ","Conservative ","Rude"
R_cV1rTkwyJoZg2rL,"Intelligent individuals who are patriotic and fair-minded","Individuals who are tolerant of differences and who wish to help others","Independents that favor Democrats","Individuals who are moderate","Wealthy","Male","White","Conservative"
R_Z2ny5IwhxzFNByp,"young","left","female","liberal","White","Conservative","Christian","Male"
R_b72pslCjZL2Dg1b,"Liberal","Progressive","Opinionated","Smart","Arrogant, white","male, elderly, Christian","rich, conservative","patriotic, and Democrat-hating."
R_1jfujAz16nZDLMH,"Liberal","Female","Liberal","Liberal","Religious","White","Conservative","Middle-aged"
R_YWWdtC1XLBdvN4t,"Rich","Young","Female","Liberal","racist ","hypocrite ","asshole ","evil"
R_3dZpHzhVFCHxbzD,"Immigrants","Black people","Poor people","Women","Rich white males who want to control women's bodies.","Rich white males who want to control the world's resources.","Rich white males who do not believe in climate change.","Rich white males who support the death penalty."
R_uaaVH7rp3NShOLL,"Liberal","Young","Educated","Middle-class","Conservatives are strong","Conservatives are confident","Conservatives are true","Conservatives are proud"
R_896zG20L1FhvOcd,"Young/Liberal","Female","Educated","Minorities","White","Male","Christian","Conservative"
R_2rTlP2JrAxZfjuN,"Mentally unstable","Demanding of government handouts","Anti-military","Liberal","Racist","Homophobic","Sexist","Religious"
R_2XbqFHpFuPESk8z,"Pro-choice","Liberal","Feminists","Godless","Old","Rich","Religious","Male"
R_a4VnstrN7CELlLT,"Female","Poor","Democrat","Female","Selfish","Self-centered","Greedy","Arrogant"
R_3FJMJI9Z4zv7rNB,"Liberals","Persons on the left","People who like Obama","People who are not politically engaged","Close-minded ","Racist ","Old ","Religious"
R_0eWVQRUnHKb7SHX,"Liberal ","Socialistic ","Irresponsible ","Atheist ","Conservative","Religious","Middle Class","White"
R_pnLLivueslzPJQd,"Intelligent ","Educated ","Charitable ","Liberal","Conservative","Middle-class","Anti-gay","White"
R_6h4Fg2g5TtC3kdn,"Liberal ","Female ","Under ","University Educated","Racist","Homophobic","Ignorant","Rich"
R_2aRKwvC4caMOrxs,"anti-Republican","anti-Bush","pro-abortion","pro-gay rights","Conservative","Religious","Rural","White"
R_2EvppkjAy0yjpIa,"Rich","Young","Anti-war","Liberal","Homophobic ","Racist ","Sexist ","Small-minded"
R_27yhbCONUc48Mlq,"Young","Female","Liberal","Upper-class  In terms of my income","Religious","Conservative","White","Male"
R_ekCN2bUTfPp7S5L,"Liberal","Intellectual","Educated","Well-informed","Conservative ","Pro-military ","Religious ","White"
R_bjhm5R74kpOirvn,"Socially Liberal","Politically Progressive","Minority Hispanic","Woman","Older","White","Male","Wealthy"
R_3h3CAd3a5sH8BI9,"Women","People who work for a living","People who want health insurance and Social Security","People who don't want to be killed by guns","White Supremacist","Racist","Christian","Old"
R_2TNvXNb64bm2o0F,"People who support the Democratic Party are compassionate and well-intentioned","People who support the Democratic Party are tolerant and non-judgmental","People who support the Democratic Party are open-minded and accepting","People who support the Democratic Party are progressive and forward-thinking","Conservative","Religious","Old","Wealthy"
R_2Y505ghzyZI8cuJ,"People who insist that issues should be discussed with civility","People who believe that people who are not like them should be treated with respect","People who believe that people who are not like them should be treated with respect","People who believe that people who are not like them should be treated with respect","Patriotic ","Religious ","Conservative ","Racist"
R_42PhVZh3MpP1laJ,"Uneducated","Ignorant","Racist","Violent","White","Christian","Male","Rich"
R_3fT8sC2hjI1tGAJ,"Liberal","Anti-Reagan","Uneducated","Poor","Religious people ","Wealthy people ","Men ","People who are not well informed"
R_suK8CPUwfP6PF29,"Diverse","Open-minded","Liberal","Progressive","Old","Racist","White","Male"
R_blQTYjWCnMajo1f,"Poorly-informed ","Easily-led ","Soft-headed ","Weak-willed","Religious  true","Conservative  true","Morally superior  true","White  true"
R_1XKTm0fhCvuiSl7,"People who like high taxes","People who like big government","People who like to think they are doing good by feeling good","People who want to be right","White ","Rural ","Religious ","Old"
